sess0001, 000068, 91, 125, GVWY, 384, 20, 19.200000, SHVR, 730, 20, 36.500000, ZIC, 468, 20, 23.400000, 91, 125, 
sess0001, 000069, 87, 125, GVWY, 384, 20, 19.200000, SHVR, 730, 20, 36.500000, ZIC, 489, 20, 24.450000, 87, 125, 
sess0001, 000076, 87, 105, GVWY, 384, 20, 19.200000, SHVR, 770, 20, 38.500000, ZIC, 494, 20, 24.700000, 87, 105, 
sess0001, 000079, 89, 108, GVWY, 384, 20, 19.200000, SHVR, 776, 20, 38.800000, ZIC, 516, 20, 25.800000, 89, 108, 
sess0001, 000081, 92, 115, GVWY, 384, 20, 19.200000, SHVR, 776, 20, 38.800000, ZIC, 516, 20, 25.800000, 92, 115, 
sess0001, 000083, 96, 98, GVWY, 384, 20, 19.200000, SHVR, 800, 20, 40.000000, ZIC, 516, 20, 25.800000, 96, 98, 
sess0001, 000083, 97, 115, GVWY, 384, 20, 19.200000, SHVR, 807, 20, 40.350000, ZIC, 516, 20, 25.800000, 97, 115, 
sess0001, 000085, 98, 125, GVWY, 384, 20, 19.200000, SHVR, 807, 20, 40.350000, ZIC, 544, 20, 27.200000, 98, 125, 
sess0001, 000085, 98, 125, GVWY, 395, 20, 19.750000, SHVR, 807, 20, 40.350000, ZIC, 544, 20, 27.200000, 98, 125, 
sess0001, 000087, 102, 125, GVWY, 445, 20, 22.250000, SHVR, 833, 20, 41.650000, ZIC, 544, 20, 27.200000, 102, 125, 
sess0001, 000093, 112, 116, GVWY, 476, 20, 23.800000, SHVR, 847, 20, 42.350000, ZIC, 544, 20, 27.200000, 112, 116, 
sess0001, 000093, 112, 125, GVWY, 485, 20, 24.250000, SHVR, 858, 20, 42.900000, ZIC, 544, 20, 27.200000, 112, 125, 
sess0001, 000093, 111, 125, GVWY, 485, 20, 24.250000, SHVR, 896, 20, 44.800000, ZIC, 596, 20, 29.800000, 111, 125, 
sess0001, 000095, 98, 125, GVWY, 520, 20, 26.000000, SHVR, 920, 20, 46.000000, ZIC, 596, 20, 29.800000, 98, 125, 
sess0001, 000098, 104, 107, GVWY, 520, 20, 26.000000, SHVR, 920, 20, 46.000000, ZIC, 596, 20, 29.800000, 104, 107, 
sess0001, 000099, 98, 107, GVWY, 520, 20, 26.000000, SHVR, 931, 20, 46.550000, ZIC, 626, 20, 31.300000, 98, 107, 
sess0001, 000102, 91, 101, GVWY, 520, 20, 26.000000, SHVR, 973, 20, 48.650000, ZIC, 626, 20, 31.300000, 91, 101, 
sess0001, 000102, 91, 100, GVWY, 520, 20, 26.000000, SHVR, 978, 20, 48.900000, ZIC, 645, 20, 32.250000, 91, 100, 
sess0001, 000103, 91, 97, GVWY, 570, 20, 28.500000, SHVR, 1011, 20, 50.550000, ZIC, 645, 20, 32.250000, 91, 97, 
sess0001, 000105, 91, 93, GVWY, 570, 20, 28.500000, SHVR, 1090, 20, 54.500000, ZIC, 645, 20, 32.250000, 91, 93, 
sess0001, 000106, 92, 108, GVWY, 589, 20, 29.450000, SHVR, 1092, 20, 54.600000, ZIC, 645, 20, 32.250000, 92, 108, 
sess0001, 000107, 91, 98, GVWY, 629, 20, 31.450000, SHVR, 1149, 20, 57.450000, ZIC, 645, 20, 32.250000, 91, 98, 
sess0001, 000109, 87, 98, GVWY, 633, 20, 31.650000, SHVR, 1149, 20, 57.450000, ZIC, 645, 20, 32.250000, 87, 98, 
sess0001, 000109, 87, 108, GVWY, 636, 20, 31.800000, SHVR, 1149, 20, 57.450000, ZIC, 645, 20, 32.250000, 87, 108, 
sess0001, 000111, 87, 101, GVWY, 636, 20, 31.800000, SHVR, 1149, 20, 57.450000, ZIC, 696, 20, 34.800000, 87, 101, 
sess0001, 000111, 87, 108, GVWY, 636, 20, 31.800000, SHVR, 1149, 20, 57.450000, ZIC, 738, 20, 36.900000, 87, 108, 
sess0001, 000113, 87, 108, GVWY, 650, 20, 32.500000, SHVR, 1149, 20, 57.450000, ZIC, 748, 20, 37.400000, 87, 108, 
sess0001, 000123, 104, 107, GVWY, 650, 20, 32.500000, SHVR, 1197, 20, 59.850000, ZIC, 748, 20, 37.400000, 104, 107, 
sess0001, 000124, 98, 106, GVWY, 670, 20, 33.500000, SHVR, 1229, 20, 61.450000, ZIC, 748, 20, 37.400000, 98, 106, 
sess0001, 000127, 87, 102, GVWY, 670, 20, 33.500000, SHVR, 1237, 20, 61.850000, ZIC, 771, 20, 38.550000, 87, 102, 
sess0001, 000128, 87, 108, GVWY, 714, 20, 35.700000, SHVR, 1276, 20, 63.800000, ZIC, 771, 20, 38.550000, 87, 108, 
sess0001, 000132, 97, 101, GVWY, 714, 20, 35.700000, SHVR, 1276, 20, 63.800000, ZIC, 791, 20, 39.550000, 97, 101, 
sess0001, 000134, 98, 101, GVWY, 714, 20, 35.700000, SHVR, 1335, 20, 66.750000, ZIC, 791, 20, 39.550000, 98, 101, 
sess0001, 000135, 99, 108, GVWY, 714, 20, 35.700000, SHVR, 1335, 20, 66.750000, ZIC, 812, 20, 40.600000, 99, 108, 
sess0001, 000136, 101, 115, GVWY, 714, 20, 35.700000, SHVR, 1335, 20, 66.750000, ZIC, 836, 20, 41.800000, 101, 115, 
sess0001, 000136, 103, 125, GVWY, 714, 20, 35.700000, SHVR, 1335, 20, 66.750000, ZIC, 864, 20, 43.200000, 103, 125, 
